column,dtype
id,int64
name,object
host_id,int64
host_name,object
neighbourhood_group,object
neighbourhood,object
latitude,float64
longitude,float64
room_type,object
price,int64
minimum_nights,int64
number_of_reviews,int64
last_review,object
reviews_per_month,float64
calculated_host_listings_count,int64
availability_365,int64
