model,train_r2,test_r2,test_rmse,test_nrmse,best_alpha,best_max_depth,best_min_samples_split,best_min_samples_leaf,best_n_estimators,best_max_features,best_learning_rate,best_subsample,best_colsample_bytree
linear_regression,0.21536025354469213,0.23188802874242742,1.3835523458593293,0.10325017506412905,,,,,,,,,
log_target_linear_regression,0.17663385725799885,0.18776747011308714,1.4227333690694628,0.10617413202010915,,,,,,,,,
ridge_regression,0.21535983236375156,0.23188633955794746,1.3835538671699927,0.10325028859477557,10.0,,,,,,,,
decision_tree_regression,0.5608899297815932,0.5649008154978186,1.0413038229387344,0.077709240517816,,5.0,2.0,1.0,,,,,
random_forest_regression,0.7973786706684917,0.6072147587119263,0.9893749463983428,0.07383395122375692,,15.0,2.0,1.0,200.0,sqrt,,,
xgboost_regression,0.7502841962026713,0.6047019387587886,0.9925346343284166,0.07406974883047884,,7.0,,,200.0,,0.05,0.8,0.8
