model,cv_r2_score,mean_fit_time,mean_score_time,train_r2,test_r2,test_rmse,test_nrmse,best_alpha,best_max_depth,best_min_samples_split,best_min_samples_leaf,best_n_estimators,best_max_features,best_learning_rate,best_subsample,best_colsample_bytree
linear_regression,0.21478632339371256,0.009471750259399414,0.0010983943939208984,0.21536025354469213,0.23188802874242742,1.3835523458593293,0.10325017506412905,,,,,,,,,
log_target_linear_regression,0.2836316520179336,0.007960891723632813,0.0010193347930908202,0.17663385725799885,0.18776747011308714,1.4227333690694628,0.10617413202010915,,,,,,,,,
ridge_regression,0.21479150117290602,0.003934240341186524,0.0006587982177734375,0.21535983236375156,0.23188633955794746,1.3835538671699927,0.10325028859477557,10.0,,,,,,,,
decision_tree_regression,0.5492907343035767,0.061932039260864255,0.001561450958251953,0.5608899297815932,0.5649008154978186,1.0413038229387344,0.077709240517816,,5.0,2.0,1.0,,,,,
random_forest_regression,0.6002082443135918,7.143150568008423,0.08187503814697265,0.7973786706684917,0.6072147587119263,0.9893749463983428,0.07383395122375692,,15.0,2.0,1.0,200.0,sqrt,,,
xgboost_regression,0.6147677247297492,1.2504851341247558,0.04403562545776367,0.7901226129069849,0.6027728820739702,0.9949534741338788,0.07425025926372229,,8.0,,,200.0,,0.05,0.8,0.7
